ID,METIS runtime,Oriole runtime
4input_6842,0.003712,99.098257
4input_3310,0.006509,6.012433
4input_1340,0.009673,110.656899
4input_2064,0.013149,108.545031
4input_39513,0.016846,147.518274
4input_39057,0.021028,110.178957
4input_16418,0.025922,156.416987
4input_15553,0.031148,152.416234
5input_42709,0.013249,161.580259
5input_54207,0.019643,149.67205
5input_23439,0.027346,245.314272
5input_71517,0.034732,206.828165
5input_36413,0.042383,171.289027
5input_90460,0.050714,278.719336
case1,0.002405881881714,0.091779947280884
case2,0.004541158676147,0.096674680709839
