,node number
15553,23
31534,23
32474,23
44824,23
47762,23
53427,23
8726,22
10373,22
13811,22
16418,22
17289,22
17385,22
38141,22
38421,22
44531,22
51561,22
52550,22
1767,21
3857,21
13651,21
13742,21
34352,21
38389,21
39057,21
45536,21
45829,21
46076,21
53423,21
56565,21
56905,21
58459,21
65265,21
2956,20
7620,20
11258,20
16891,20
19348,20
19890,20
33484,20
39513,20
40287,20
42970,20
43104,20
45681,20
52116,20
55448,20
2064,19
15412,19
50457,19
55069,19
58720,19
61894,19
62220,19
1125,18
1340,18
5353,18
6246,18
16292,18
18834,18
30293,18
32058,18
36445,18
39469,18
41284,18
47870,18
49513,18
49782,18
50119,18
50293,18
54384,18
59730,18
61601,18
3310,17
6471,17
7365,17
18321,17
30215,17
30304,17
30485,17
34335,17
39917,17
44903,17
47382,17
47604,17
50508,17
54847,17
55714,17
55816,17
57451,17
62670,17
6842,16
31773,16
36208,16
36764,16
37740,16
44033,16
56815,16
62187,16
64111,16
